Date,Open,ASKHI,BIDLO,Close,PRC,Volume,RET,SHROUT,TP,vwretx
6/4/2021,80.919998,82.190002,80.809998,81.580002,81.580002,26387800,0.016193361,1232000000,2151309392,-0.10700988
6/7/2021,81.400002,81.68,80.379997,81.349998,81.349998,29006800,-0.002819367,1232000000,2353515014,0.093991884
6/8/2021,81.870003,82.650002,80.449997,80.889999,80.889999,26956600,-0.005654567,1232000000,2192380260,-0.068465573
6/9/2021,81.089996,81.68,79.800003,79.959999,79.959999,28454600,-0.011497095,1232000000,2290026227,0.044538791
6/10/2021,80.019997,81.709999,79.699997,81.559998,81.559998,28606400,0.020009993,1232000000,2316832279,0.011705565
6/11/2021,81.610001,82.330002,80.699997,81.309998,81.309998,24310900,-0.003065228,1232000000,1980041744,-0.145366817
6/14/2021,81.510002,81.550003,80.199997,81.550003,81.550003,27830200,0.002951728,1232000000,2257029248,0.139889729
6/15/2021,81.589996,81.68,80.220001,80.470001,80.470001,26194300,-0.013243433,1232000000,2116237514,-0.062379224
6/16/2021,80.75,81.449997,78.959999,80.110001,80.110001,29598300,-0.004473717,1232000000,2372994342,0.121327037
6/17/2021,80.769997,85.370003,80.57,84.559998,84.559998,77822800,0.055548583,1232000000,6498203826,1.738398364
6/18/2021,84.279999,85.769997,83.480003,84.650002,84.650002,58736800,0.00106438,1232000000,4971091212,-0.235005342
6/21/2021,83.489998,84.190002,82.209999,82.589996,82.589996,44417100,-0.024335569,1232000000,3686471199,-0.258418114
6/22/2021,82.900002,84.040001,82.480003,83.580002,83.580002,32107700,0.011986997,1232000000,2676711988,-0.273909426
6/23/2021,83.830002,84.489998,83.160004,83.82,83.82,25992400,0.002871476,1232000000,2178769627,-0.18602762
6/24/2021,84.389999,87.139999,84.370003,86.099998,86.099998,42217700,0.027201121,1232000000,3625233899,0.663890415
6/25/2021,86.339996,86.360001,85.099998,85.620003,85.620003,27804500,-0.005574855,1232000000,2382660305,-0.342756806
6/28/2021,86.379997,88,86.150002,87.080002,87.080002,30262000,0.017052078,1232000000,2635114127,0.105954601
6/29/2021,87.410004,90.300003,86.660004,89.519997,89.519997,46181000,0.028020153,1232000000,4102104355,0.556708422
6/30/2021,90.82,94.339996,90.599998,93.93,93.93,70721500,0.04926277,1232000000,6574034760,0.602600566
7/1/2021,94.040001,94.18,91.699997,93.309998,93.309998,58059000,-0.006600681,1230000000,5403163973,-0.178105354
7/2/2021,93.279999,95.269997,92.209999,94.699997,94.699997,51316700,0.014896571,1230000000,4826848682,-0.106662558
7/6/2021,94.879997,95.410004,93.32,94.470001,94.470001,44930100,-0.00242868,1230000000,4241401515,-0.121289729
7/7/2021,95.019997,95.440002,90.309998,90.540001,90.540001,51498500,-0.041600508,1230000000,4742840205,0.118224763
